node,in_degree,out_degree,pagerank,betweenness_centrality,closeness_centrality
Light,69,63,0.000879864598078946,0.001996723714727985,0.36839784851424034
Color,58,32,0.0007599004494120182,0.0011844047238653973,0.3738702460850112
Rainbow,7,16,0.00012177980445549508,4.328815269344519e-05,0.3275321417372217
Plato,37,35,0.0004844070172240106,0.0005261445921038964,0.36054539178460476
Nature,44,57,0.0005859762678165802,0.001246894736725761,0.37075161948708846
Ultraviolet,42,28,0.0005282811626630855,0.0009036946772257867,0.36085679737433063
Science,136,58,0.0016837665653244452,0.003034455035011133,0.40912651782217
Weather,35,44,0.00041275813552049917,0.0005972618797688834,0.3521577882670263
Sunlight,24,20,0.00035651034079491327,0.0003250907793771527,0.3541278182742838
Sun,140,81,0.0016442230727610396,0.007357215201173345,0.4212542851381327
Earth's atmosphere,84,49,0.001088280671616416,0.0018379134666444525,0.40567045344208175
Christianity,224,92,0.002801324664530845,0.008479887901407307,0.4649454707322502
Bible,87,37,0.001073610157853386,0.0017420523600311904,0.3895934352853413
God,88,47,0.0011181080360757123,0.0021504017904403557,0.41650882264978567
Optical fiber,9,12,0.00015242745742028444,6.87373713944749e-05,0.32879515227827183
Astronomy,89,79,0.000970964895951404,0.003186240458730207,0.3776552472204646
Empiricism,13,11,0.0001949895379696492,2.287266589382147e-05,0.33871098500202673
Rain,34,34,0.0004737443843313716,0.0005752360742433517,0.37568563978059527
Leonardo da Vinci,30,40,0.00037817652274265144,0.0005986784462966205,0.3489226657758477
Water,176,106,0.0020417860598535556,0.00925744153435204,0.4508470918312291
Cloud,21,20,0.0002870931234357954,0.00017046425116085297,0.3481086485585736
Republic of Ireland,46,34,0.0007272475415886228,0.0011854415584604556,0.4330880066341868
Physics,124,112,0.0015672768661422018,0.00616686660668792,0.38818173371736503
Speed of light,29,37,0.00042932630114064877,0.0008336171784403225,0.3442933662958385
English peasants' revolt of 1381,4,6,7.698411527899022e-05,2.9598128934465504e-06,0.29084580577793245
Archbishop of Canterbury,35,26,0.0004940399871462628,0.0006001245484956296,0.3851046179371371
19th century,211,152,0.0025685070507798597,0.015110867119306487,0.4662426068519139
The Origin of Species,15,17,0.00021254574573651932,0.00012151224525521776,0.34310585530097726
Biology,90,78,0.0012608803969853333,0.004013226889986571,0.40417916223275613
India,352,125,0.004047563779769729,0.017685540772095214,0.48819817714419256
Rice,36,53,0.0005305829043189342,0.0010416852131278065,0.40717279017639607
Acid rain,18,23,0.0002626098820041175,0.00015288955412266794,0.3483989326217478
Day,20,17,0.00025988839387575775,0.0006367062357705864,0.366748595505618
France,513,156,0.006077308942723895,0.02721236489670171,0.5095743383339432
World War II,537,198,0.005965254821577728,0.03283690315287771,0.5101343101343101
Nuclear weapon,60,37,0.0007610445874782834,0.0017633914732320011,0.4198994974874372
Neutron,33,22,0.0004600922210577289,0.0003940161020922387,0.34195449337043704
Religion,114,66,0.0014011697733891794,0.002443635819235517,0.40713311245371275
Astrology,27,32,0.00035168502843612576,0.0007127161092413769,0.37193982017270544
Art,101,78,0.0013082284158919008,0.003744812138656297,0.4088462667579998
Singapore,32,26,0.0004518969105876562,0.0002657746135786621,0.4001532420266258
Fishing,69,51,0.0008764183704889598,0.0025189537574602503,0.4065784351887894
Ice,26,23,0.0003574856919940327,0.00018206018234762423,0.349945556579278
Climate,89,30,0.001175260194153834,0.0009856404706073863,0.406104199066874
Special relativity,15,12,0.00025293591055688985,2.4657091457264052e-05,0.32869168436787033
Egypt,198,88,0.0023545340693624734,0.005922227162076695,0.43561672401209467
Ancient Egypt,112,74,0.0013946775755821963,0.003107445135480835,0.4068159688412853
Glass,49,45,0.00057610845429993,0.001077858138832592,0.3539778022536643
Chromatic aberration,3,5,6.53093984990905e-05,6.035681257293866e-06,0.2623218434105607
Ottoman Empire,86,74,0.0011265730060533335,0.001817175281370633,0.40065209052550826
Ocean,65,50,0.0008628665956437589,0.0018466805289155713,0.38746174533988686
Seawater,15,21,0.00021541773829720823,9.494712878289405e-05,0.3322201017811705
Sodium,34,31,0.00043025811676283094,0.000588288270908227,0.3386286270059977
Chemistry,81,57,0.0010306439009076318,0.002353348315938148,0.3900662869946784
England,624,272,0.006885469589920207,0.05456229929706182,0.5003592814371257
London,355,152,0.0038569145807513137,0.020360247401154996,0.4644802668148972
Spanish Armada,13,21,0.00019149589033789173,0.0001165596451161587,0.34511812324467206
Great Britain,126,71,0.0016976022085828746,0.005885278852789918,0.44460998190911993
10th century,38,31,0.0005067862802826206,0.0005169413230959124,0.37995634776282283
11th century,27,30,0.0003635798583473376,0.000270945404960185,0.3572772361894989
12th century,42,38,0.0005388374910642702,0.0006729355697895282,0.3797836560312699
13th century,42,31,0.0005168660141769563,0.0006011325012266809,0.36791123635082773
Francis Drake,9,11,0.00014365782965191455,0.00027066278789617774,0.35382791327913277
Elizabeth I of England,31,31,0.0003606771831895208,0.00026474708201344624,0.3388758212344878
James I of England,24,25,0.00031459152286675935,0.00018831993007920923,0.35618073316283033
Hundred Years' War,18,25,0.0002262550159139088,0.00019643168676394937,0.3343469910371319
Henry VI of England,8,12,0.00010654526426752368,1.1801245284847088e-05,0.2869308426619051
Wars of the Roses,15,23,0.00023163079475357142,0.0002593858024652942,0.36352562429304797
Henry VIII of England,37,36,0.0004489572371538157,0.0011433623794574652,0.37373647016727796
Edward III of England,18,19,0.00022730311861387275,5.419614275681389e-05,0.3081575453606727
Windsor Castle,14,15,0.0001800548614543501,0.00010072774576520218,0.3387659125922322
